onset	duration	trial_type	rt	resp
0.00044800000614486635	0.5985970999900019	fixation_1	999	999
0.5992555999982869	3.0076473000081023	face	1.0258942000073148	2
3.6069523000041954	0.5985970999900019	fixation_2	999	999
4.149131400001352	1.000074499999755	feedback loss	999	999
5.149215900004492	2.0165694000024814	ITI	999	999
7.180087800006731	0.6027911999990465	fixation_1	999	999
7.783092400000896	3.0083150999998907	face	0.7736306000006152	3
10.791459800006123	0.6027911999990465	fixation_2	999	999
11.333403500000713	1.0000397999974666	feedback win	999	999
12.333453700004611	2.0169109999987995	ITI	999	999
