onset	duration	trial_type	rt	resp
0.00043929999810643494	0.6030354999966221	fixation_1	999	999
0.6036860000021989	3.0450335000059567	face	999	999
3.6487789999955567	0.6030354999966221	fixation_2	999	999
4.203851900005247	1.0007866999949329	feedback win	999	999
5.2046456999960355	5.316130100007285	ITI	999	999
10.534728700004052	0.5871837000013329	fixation_1	999	999
11.122117999999318	3.0459925000031944	face	999	999
14.168159599998035	0.5871837000013329	fixation_2	999	999
14.722482500001206	1.0001010999985738	feedback loss	999	999
15.72259320000012	1.1173720000078902	ITI	999	999
16.851333800004795	0.5882468999916455	fixation_1	999	999
17.439786999995704	3.044807199999923	face	999	999
20.4846389000013	0.5882468999916455	fixation_2	999	999
21.040078300007735	1.000019599989173	feedback win	999	999
22.040107799999532	1.1174803000030806	ITI	999	999
23.16975650000677	0.6040652999945451	fixation_1	999	999
23.774026500002947	3.0459439999976894	face	999	999
26.82004059999599	0.6040652999945451	fixation_2	999	999
27.374380199995358	1.0002979000128107	feedback win	999	999
28.374688099997	3.217012100009015	ITI	999	999
31.60506460000761	0.6040708999935305	fixation_1	999	999
32.209341900001164	3.046559199996409	face	999	999
35.25594709999859	0.6040708999935305	fixation_2	999	999
35.80882580000616	1.0001100999943446	feedback loss	999	999
36.808946200006176	5.31634559998929	ITI	999	999
42.13675370000419	0.58972969999013	fixation_1	999	999
42.72669060000044	3.043113899999298	face	999	999
45.76985009999771	0.58972969999013	fixation_2	999	999
46.310674000007566	1.0001990999880945	feedback loss	999	999
47.31088420000742	3.2160341999988304	ITI	999	999
50.53878250000707	0.5894706999970367	fixation_1	999	999
51.12848280000617	3.044193900001119	face	999	999
54.17272099999536	0.5894706999970367	fixation_2	999	999
54.728442699997686	1.0001332000101684	feedback win	999	999
55.7285855999944	3.216465200006496	ITI	999	999
58.95685469999444	0.6058332000102382	fixation_1	999	999
59.562897600000724	3.044361399995978	face	999	999
62.60730550000153	0.6058332000102382	fixation_2	999	999
63.16307710000547	1.0154627000010805	feedback loss	999	999
64.17854320000333	1.1175387999974191	ITI	999	999
65.30834319999849	0.6049659999989672	fixation_1	999	999
65.9135135999968	3.0439143999974476	face	999	999
68.95747360000678	0.6049659999989672	fixation_2	999	999
69.51390930000343	1.0004004999937024	feedback win	999	999
70.514319599999	1.1175039000081597	ITI	999	999
71.64366070000688	0.6039600999938557	fixation_1	999	999
72.24782380000397	3.046301399997901	face	999	999
75.29417120000289	0.6039600999938557	fixation_2	999	999
75.84820110000146	1.000049800000852	feedback win	999	999
76.84826100000646	1.1176292999880388	ITI	999	999
77.97798019999755	0.6038228999968851	fixation_1	999	999
78.58201399999962	3.0443990000057966	face	999	999
81.62645840000187	0.6038228999968851	fixation_2	999	999
82.18288629999734	1.0163564000104088	feedback loss	999	999
83.19925259999582	3.2168996000109473	ITI	999	999
86.42818000000261	0.6048003000032622	fixation_1	999	999
87.03314189999946	3.0434400999947684	face	999	999
90.07662809999601	0.6048003000032622	fixation_2	999	999
90.61688850000792	1.00008749999688	feedback loss	999	999
91.61698609999439	1.1174725000018952	ITI	999	999
92.74858509999467	0.6020229999994626	fixation_1	999	999
93.35087989999738	3.0420589999994263	face	999	999
96.39298410000629	0.6020229999994626	fixation_2	999	999
96.93463740000152	1.0000294000055874	feedback win	999	999
97.93467669999518	5.316831700009061	ITI	999	999
103.26393689999531	0.6037444000103278	fixation_1	999	999
103.86783200000355	3.06608679999772	face	999	999
106.9339631000039	0.6037444000103278	fixation_2	999	999
107.48764920000394	1.016568199993344	feedback win	999	999
108.50422709999839	1.1167848000040976	ITI	999	999
109.63358300000255	0.6033940000052098	fixation_1	999	999
110.23718130000634	3.049784199989517	face	999	999
113.28701129999536	0.6033940000052098	fixation_2	999	999
113.83642439999676	1.0166331000073114	feedback win	999	999
114.85306059999857	5.317314700005227	ITI	999	999
120.18305829999736	0.5890209000062896	fixation_1	999	999
120.77229989999614	3.0436652000062168	face	999	999
123.81601049999881	0.5890209000062896	fixation_2	999	999
124.35766759999387	1.0146769000130007	feedback win	999	999
125.37235449999571	3.2162169000075664	ITI	999	999
128.60117009999522	0.60512110000127	fixation_1	999	999
129.2064987000049	3.044860099995276	face	999	999
132.2514041999966	0.60512110000127	fixation_2	999	999
132.80671129999973	1.0000832000077935	feedback win	999	999
133.80680459999712	3.217092400009278	ITI	999	999
137.03687359999458	0.5873385000013513	fixation_1	999	999
137.62441519999993	3.0435989999969024	face	999	999
140.6680575000064	0.5873385000013513	fixation_2	999	999
141.20828829999664	1.0164897000067867	feedback win	999	999
142.22478859999683	3.216362899998785	ITI	999	999
145.45374620000075	0.6051797999971313	fixation_1	999	999
146.05912859999808	3.044344900001306	face	999	999
149.10351699999592	0.6051797999971313	fixation_2	999	999
149.6593095999997	1.0166145999974106	feedback win	999	999
150.67593430000124	11.616943500004709	ITI	999	999
162.30701170000248	0.5875196999986656	fixation_1	999	999
162.89511280000443	3.0436328999930993	face	999	999
165.93879159999778	0.5875196999986656	fixation_2	999	999
166.4936197000061	1.0167052999895532	feedback loss	999	999
167.51032770000165	5.317706600006204	ITI	999	999
172.84092400000372	0.6050258000032045	fixation_1	999	999
173.44616760000645	3.04185179999331	face	999	999
176.48806469999545	0.6050258000032045	fixation_2	999	999
177.03033409999625	1.016198199999053	feedback win	999	999
178.0465375000058	5.315331799996784	ITI	999	999
183.37481520000438	0.6060922000033315	fixation_1	999	999
183.98112080000283	3.044674999997369	face	999	999
187.02583929999673	0.6060922000033315	fixation_2	999	999
187.5814365999977	1.0166734000085853	feedback loss	999	999
