onset	duration	trial_type
0.6036860000021989	3.0450335000059567	win
11.122117999999318	3.0459925000031944	loss
17.439786999995704	3.044807199999923	win
23.774026500002947	3.0459439999976894	win
32.209341900001164	3.046559199996409	loss
42.72669060000044	3.043113899999298	loss
51.12848280000617	3.044193900001119	win
59.562897600000724	3.044361399995978	loss
65.9135135999968	3.0439143999974476	win
72.24782380000397	3.046301399997901	win
78.58201399999962	3.0443990000057966	loss
87.03314189999946	3.0434400999947684	loss
93.35087989999738	3.0420589999994263	win
103.86783200000355	3.06608679999772	win
110.23718130000634	3.049784199989517	win
120.77229989999614	3.0436652000062168	win
129.2064987000049	3.044860099995276	win
137.62441519999993	3.0435989999969024	win
146.05912859999808	3.044344900001306	win
162.89511280000443	3.0436328999930993	loss
173.44616760000645	3.04185179999331	win
183.98112080000283	3.044674999997369	loss
192.41553090000525	3.04446979999193	loss
198.74967790000665	3.0442115999903763	loss
205.08417760000157	3.0428334000025643	win
215.58565320000343	3.0447350000031292	loss
226.12045489999582	3.044222100012121	win
234.5717061000032	3.0458336000010604	loss
240.9060565999971	3.0444545000063954	win
249.34061820000352	3.0446955999941565	loss
255.67494080000324	3.0468259999906877	loss
261.99267180000606	3.0428822999965632	loss
268.2932647999987	3.0443106000020634	win
278.82827630000247	3.0482252999936463	loss
285.16152870000224	3.0460348000051454	loss
293.5805118999997	3.0452804999949876	win
304.11510389999603	3.0465383999980986	loss
314.6668265000044	3.046360399996047	win
321.001285300008	3.0435853999952087	loss
327.3189577000012	3.044415800002753	loss
337.8703791000007	3.0417825000040466	loss
344.18798719999904	3.0446945000003325	loss
352.62267900000734	3.0451914000004763	win
365.2577197000064	3.0430061999941245	loss
371.5587910000031	3.044487199993455	win
377.89289879999706	3.0444054000108736	loss
384.2105118000036	3.04395310000109	loss
392.64507450000383	3.048414299992146	loss
403.1971171000041	3.0423701999970945	loss
413.7148773000081	3.0439689999911934	loss
424.26692500000354	3.048924300004728	win
432.7009546000045	3.043354499997804	win
439.018668100005	3.0455507000006037	loss
447.4532254000078	3.043191699995077	win
455.88802569999825	3.0450803999992786	win
462.22211689999676	3.0439130000013392	win
468.57160880000447	3.0515026999928523	win
474.90775709999434	3.044632900011493	win
485.4421791000059	3.0456907999905525	win
495.9770667999983	3.044915400008904	loss
